client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,223.90000000037253,17.5,11.1,30.5,0,0,0
1,232.90000000037253,13.2,7.6,20.7,0,0,0
2,222.80000000074506,11.3,8.0,18.3,0,0,0
3,198.90000000037253,10.9,6.4,15.4,0,0,0
4,216.09999999962747,12.7,9.0,15.9,0,0,0
5,235.69999999925494,10.9,5.4,15.5,0,0,0
6,241.69999999925494,13.3,6.7,20.8,0,0,0
7,342,10.5,5.4,15.8,0,0,0
8,224,10.2,7.7,14.0,0,0,0
9,343.40000000037253,11.6,5.9,17.2,0,0,0
10,303.09999999962747,10.0,5.1,13.3,0,0,0
11,231.2999999988824,12.5,7.3,16.9,0,0,0
12,264.09999999962747,8.8,5.1,12.6,0,0,0
13,266.59999999962747,10.2,5.2,14.3,0,0,0
14,318.5,12.3,7.7,17.3,0,0,0
15,287.09999999962747,13.3,5.2,20.2,0,0,0
16,262.6000000014901,8.5,5.7,13.3,0,0,0
17,322.90000000037253,10.7,8.0,15.9,0,0,0
18,233.69999999925494,12.7,8.1,20.4,0,0,0
19,250.5,12.1,7.0,20.3,0,0,0
20,313.59999999962747,9.1,5.7,12.2,0,0,0
21,275.5,9.3,5.6,12.5,0,0,0
