client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,201.30000000074506,13.4,0.7,39.8,0,0,0
1,170.89999999850988,8.7,0.9,24.0,0,0,0
2,172.2000000011176,6.0,1.1,13.6,0,0,0
3,215.5,6.9,1.0,22.2,0,0,0
4,167.5,8.0,0.8,20.4,0,0,0
5,291.09999999962747,6.1,0.8,15.3,0,0,0
6,225.7999999988824,5.1,1.0,10.5,0,0,0
7,305.3999999985099,5.7,1.2,13.8,0,0,0
8,295.2999999988824,5.5,0.8,19.2,0,0,0
9,214.59999999962747,6.3,1.0,18.3,0,0,0
10,324.7999999988824,5.7,1.0,17.0,0,0,0
11,259.19999999925494,7.6,1.3,21.3,0,0,0
12,254,8.0,0.8,24.9,0,0,0
13,265.90000000037253,4.7,0.8,17.2,0,0,0
14,267.7999999988824,5.2,0.9,17.8,0,0,0
15,234.39999999850988,5.0,0.7,14.7,0,0,0
16,243.7999999988824,4.8,0.5,14.9,0,0,0
17,313,4.8,0.8,16.2,0,0,0
18,379.19999999925494,5.0,0.7,15.2,0,0,0
19,291.59999999962747,4.9,0.8,22.0,0,0,0
20,264.30000000074506,4.1,0.9,14.0,0,0,0
21,219.09999999962747,5.6,1.0,17.0,0,0,0
22,407.69999999925494,3.1,0.9,11.2,0,0,0
23,387.5,3.4,0.1,10.9,0,0,0
24,420.8999999985099,3.8,0.7,14.9,0,0,0
