second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,1.856722222222255,0,0,0.000,false
2,0,0.7190588235293994,0,0,0.000,false
3,0,2.2312499999999624,0,0,0.000,false
4,0,0.9948000000000216,0,0,0.000,false
5,0,1.0938666666666799,0,0,0.000,false
6,0,1.4978749999999819,0,0,0.000,false
7,0,1.3400625000000166,0,0,0.000,false
8,0,1.8404666666666476,0,0,0.000,false
9,0,0.9117857142857082,0,0,0.000,false
10,0,1.4829999999999899,0,0,0.000,false
11,0,0.7350666666666801,0,0,0.000,false
12,0,1.1342857142857226,0,0,0.000,false
13,0,2.276466666666662,0,0,0.000,false
14,0,1.2314666666666696,0,0,0.000,false
15,0,1.5284285714286052,0,0,0.000,false
16,0,1.4052857142856645,0,0,0.000,false
17,0,0.8528000000000091,0,0,0.000,false
18,0,1.3597142857142737,0,0,0.000,false
19,0,1.142857142857144,0,0,0.000,false
20,0,3.1697857142857697,0,0,0.000,false
21,0,0.8639999999999759,0,0,0.000,false
22,0,3.1012857142857113,0,0,0.000,false
23,0,0.3084000000000013,0,0,0.000,false
24,0,1.9617857142857353,0,0,0.000,false
25,0,1.8455833333332894,0,0,0.000,false
26,0,0.501461538461534,0,0,0.000,false
27,0,1.1351818181818305,0,0,0.000,false
28,0,1.2223846153846059,0,0,0.000,false
29,0,1.7734166666666755,0,0,0.000,false
30,0,1.1377500000000484,0,0,0.000,false
1,1,2.122444444444439,0,0,0.000,false
2,1,1.3032500000000058,0,0,0.000,false
3,1,0.34268749999999404,0,0,0.000,false
4,1,0.4386666666666687,0,0,0.000,false
5,1,1.9728749999999988,0,0,0.000,false
6,1,1.3056250000000047,0,0,0.000,false
7,1,2.5693999999999955,0,0,0.000,false
8,1,1.0435333333333425,0,0,0.000,false
9,1,2.0154666666666543,0,0,0.000,false
10,1,1.7510714285714333,0,0,0.000,false
11,1,0.7734285714285757,0,0,0.000,false
12,1,1.1702666666666715,0,0,0.000,false
13,1,0.3647142857142738,0,0,0.000,false
14,1,0.4610714285714357,0,0,0.000,false
15,1,1.1848571428571462,0,0,0.000,false
16,1,1.6835999999999927,0,0,0.000,false
17,1,0.8513571428571438,0,0,0.000,false
18,1,2.2442142857142917,0,0,0.000,false
19,1,0.4939333333333333,0,0,0.000,false
20,1,1.0142666666666706,0,0,0.000,false
21,1,1.3298571428571446,0,0,0.000,false
22,1,0.7291428571428568,0,0,0.000,false
23,1,0.4501333333333098,0,0,0.000,false
24,1,1.948000000000029,0,0,0.000,false
25,1,2.8401666666666436,0,0,0.000,false
26,1,2.2465833333333483,0,0,0.000,false
27,1,0.9068461538461405,0,0,0.000,false
28,1,2.1424166666666653,0,0,0.000,false
29,1,2.9079230769230966,0,0,0.000,false
30,1,1.8529166666666486,0,0,0.000,false
1,2,0.59905882352941,0,0,0.000,false
2,2,1.6557647058823566,0,0,0.000,false
3,2,1.377062499999998,0,0,0.000,false
4,2,0.8644374999999954,0,0,0.000,false
5,2,1.376000000000012,0,0,0.000,false
6,2,1.037812499999999,0,0,0.000,false
7,2,0.7984666666666603,0,0,0.000,false
8,2,1.5480000000000012,0,0,0.000,false
9,2,0.606285714285718,0,0,0.000,false
10,2,1.3564666666666596,0,0,0.000,false
11,2,0.744714285714289,0,0,0.000,false
12,2,0.3321333333333361,0,0,0.000,false
13,2,1.1803571428571358,0,0,0.000,false
14,2,0.7377142857142939,0,0,0.000,false
15,2,0.9234666666666651,0,0,0.000,false
16,2,1.2455714285714332,0,0,0.000,false
17,2,3.3863571428571295,0,0,0.000,false
18,2,0.6250000000000089,0,0,0.000,false
19,2,1.4669333333333274,0,0,0.000,false
20,2,0.20961538461537435,0,0,0.000,false
21,2,1.0419333333333411,0,0,0.000,false
22,2,1.6848571428571546,0,0,0.000,false
23,2,1.1578666666666553,0,0,0.000,false
24,2,1.2871428571428518,0,0,0.000,false
25,2,0.708428571428594,0,0,0.000,false
26,2,2.0839166666666666,0,0,0.000,false
27,2,3.443166666666664,0,0,0.000,false
28,2,1.0909166666666452,0,0,0.000,false
29,2,0.8731666666666656,0,0,0.000,false
30,2,1.8121666666666887,0,0,0.000,false
1,3,2.371647058823534,0,0,0.000,false
2,3,1.300411764705875,0,0,0.000,false
3,3,0.7383750000000133,0,0,0.000,false
4,3,1.3044375000000052,0,0,0.000,false
5,3,2.7834374999999856,0,0,0.000,false
6,3,1.07913333333333,0,0,0.000,false
7,3,0.7406249999999948,0,0,0.000,false
8,3,1.638071428571435,0,0,0.000,false
9,3,0.8327333333333502,0,0,0.000,false
10,3,2.0565999999999933,0,0,0.000,false
11,3,2.7437142857142938,0,0,0.000,false
12,3,0.8852857142857155,0,0,0.000,false
13,3,0.7361333333333182,0,0,0.000,false
14,3,1.023857142857132,0,0,0.000,false
15,3,1.8010000000000008,0,0,0.000,false
16,3,1.2417857142857132,0,0,0.000,false
17,3,1.4858571428571579,0,0,0.000,false
18,3,0.9855333333333327,0,0,0.000,false
19,3,2.2312000000000034,0,0,0.000,false
20,3,1.6091428571428488,0,0,0.000,false
21,3,0.9915714285714409,0,0,0.000,false
22,3,0.06835714285714976,0,0,0.000,false
23,3,2.02771428571426,0,0,0.000,false
24,3,1.4522142857142928,0,0,0.000,false
25,3,0.9322307692307856,0,0,0.000,false
26,3,2.0162499999999786,0,0,0.000,false
27,3,3.426333333333346,0,0,0.000,false
28,3,1.7002499999999958,0,0,0.000,false
29,3,1.591846153846136,0,0,0.000,false
30,3,1.93050000000002,0,0,0.000,false
1,4,0.49788888888889643,0,0,0.000,false
2,4,1.5658749999999944,0,0,0.000,false
3,4,1.903117647058828,0,0,0.000,false
