client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,180.29999999701977,5.9,0.1,36.7,0,0,0
1,178.79999999701977,2.5,0.1,11.8,0,0,0
2,199.29999999701977,3.1,0.2,16.8,0,0,0
3,185.19999999552965,2.2,0.2,12.5,0,0,0
4,191.10000000149012,2.8,0.4,18.5,0,0,0
5,219.59999999403954,2.4,0.1,8.3,0,0,0
6,207.39999999850988,2.3,0.1,8.2,0,0,0
7,191.39999999850988,2.4,0.1,11.5,0,0,0
8,254.39999999850988,2.7,0.1,13.9,0,0,0
9,202.80000000447035,2.4,0.2,14.4,0,0,0
10,244.60000000149012,1.8,0.2,6.0,0,0,0
11,194.10000000149012,2.3,0.1,10.3,0,0,0
12,200.39999999850988,2.1,0.1,13.4,0,0,0
13,196.79999999701977,1.9,0.1,10.4,0,0,0
14,242.20000000298023,1.9,0.1,7.2,0,0,0
15,242.10000000149012,2.3,0.1,20.3,0,0,0
16,258.1000000014901,1.8,0.1,7.8,0,0,0
17,258.1000000014901,2.0,0.1,12.2,0,0,0
18,253.80000000447035,1.7,0.1,8.2,0,0,0
19,307.1000000014901,1.6,0.1,7.2,0,0,0
20,252.79999999701977,1.7,0.0,8.9,0,0,0
21,232.29999999701977,1.8,0.1,7.7,0,0,0
22,248,1.7,0.0,9.9,0,0,0
23,296.5,1.5,0.1,7.8,0,0,0
24,289.59999999403954,1.5,0.1,6.7,0,0,0
25,380.79999999701977,1.9,0.1,9.0,0,0,0
26,349.1000000014901,1.6,0.1,5.6,0,0,0
27,416.1000000014901,2.1,0.1,15.3,0,0,0
28,581,1.7,0.0,10.9,0,0,0
29,876.2000000029802,2.0,0.1,16.7,0,0,0
30,1299.2999999970198,1.1,0.0,2.8,0,0,0
31,1414,1.4,0.1,6.1,0,0,0
32,1510.5,1.5,0.0,5.0,0,0,0
33,1615,1.7,0.0,14.6,0,0,0
34,1762.3999999985099,1.4,0.0,6.2,0,0,0
35,1677.1000000014901,1.3,0.0,3.8,0,0,0
36,1837.2000000029802,1.5,0.0,5.4,0,0,0
37,1862.6000000014901,1.5,0.0,7.1,0,0,0
38,2013.5,1.4,0.0,6.3,0,0,0
39,2116.2999999970198,1.3,0.0,9.6,0,0,0
40,2059.89999999851,5.4,0.0,27.1,0,0,0
41,2113.2000000029802,4.2,0.1,22.3,0,0,0
