client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,185,21.6,13.0,33.5,0,0,0
1,198.20000000298023,19.9,4.6,28.6,0,0,0
2,177.19999999552965,15.2,6.1,20.6,0,0,0
3,186.80000000447035,16.3,5.4,25.6,0,0,0
4,198.5,13.5,5.6,18.5,0,0,0
5,210,18.2,7.9,22.9,0,0,0
6,214,12.2,6.8,16.7,0,0,0
7,224.19999999552965,16.8,9.1,20.3,0,0,0
8,240,10.0,5.7,15.7,0,0,0
9,248.80000000447035,12.9,6.9,16.2,0,0,0
10,250.30000000447035,13.8,7.1,17.3,0,0,0
11,251.40000000596046,14.0,8.2,22.1,0,0,0
12,243.60000000149012,11.0,5.7,18.0,0,0,0
13,260.3999999985099,15.4,11.7,23.0,0,0,0
14,244.20000000298023,11.7,6.6,17.1,0,0,0
