client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,171.20000000298023,6.2,0.1,42.7,0,0,0
1,184.10000000149012,2.6,0.1,13.1,0,0,0
2,179.10000000149012,2.8,0.1,11.8,0,0,0
3,210.20000000298023,3.4,0.1,17.7,0,0,0
4,195.59999999403954,2.7,0.1,13.1,0,0,0
5,202.20000000298023,2.7,0.1,11.6,0,0,0
6,219.40000000596046,2.9,0.3,15.5,0,0,0
7,217.39999999850988,2.9,0.1,15.1,0,0,0
8,249.20000000298023,2.6,0.1,20.1,0,0,0
9,194.10000000149012,2.0,0.1,9.1,0,0,0
10,295.20000000298023,2.9,0.1,21.3,0,0,0
11,240.20000000298023,2.3,0.1,15.3,0,0,0
12,297,2.3,0.1,19.6,0,0,0
13,237.30000000447035,2.1,0.1,15.0,0,0,0
14,300.70000000298023,1.9,0.2,9.6,0,0,0
15,288.8999999985099,2.2,0.1,11.6,0,0,0
16,233.29999999701977,1.9,0.1,14.3,0,0,0
17,236.70000000298023,1.7,0.1,8.9,0,0,0
18,298.3999999985099,1.8,0.1,7.1,0,0,0
19,234.60000000149012,1.7,0.0,14.7,0,0,0
20,246.20000000298023,1.5,0.1,6.9,0,0,0
21,242.39999999850988,1.8,0.1,10.4,0,0,0
22,255.10000000149012,1.6,0.0,8.7,0,0,0
23,307.69999999552965,1.6,0.1,10.9,0,0,0
24,322.8999999985099,1.4,0.1,9.1,0,0,0
25,332.5,1.6,0.0,5.0,0,0,0
26,313.3999999985099,1.5,0.1,4.7,0,0,0
27,296.69999999552965,1.6,0.1,10.0,0,0,0
28,441.19999999552965,1.9,0.2,11.9,0,0,0
29,917.2999999970198,1.4,0.0,7.6,0,0,0
30,1351,1.3,0.0,7.3,0,0,0
31,1479,1.3,0.0,5.7,0,0,0
32,1536.6000000014901,1.6,0.1,8.5,0,0,0
33,1578.8999999985099,1.5,0.2,6.6,0,0,0
34,1596.7000000029802,1.5,0.0,6.8,0,0,0
35,1790.2000000029802,1.4,0.0,5.0,0,0,0
36,1801.1999999955297,1.7,0.0,9.5,0,0,0
37,1867.2000000029802,1.7,0.0,10.2,0,0,0
38,1980.2999999970198,1.5,0.0,9.3,0,0,0
39,1965.8999999985099,1.4,0.0,10.6,0,0,0
40,2034.5999999940395,1.7,0.0,8.5,0,0,0
41,2163.60000000149,2.3,0.0,12.8,0,0,0
42,2183.7999999970198,2.6,0.0,17.3,0,0,0
