client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,368.2000000011176,2929.5,2649.5,3209.6,1,1230,0
1,317.7999999988824,2795.7,2221.3,3208.8,1,1226,0
2,285.2000000011176,2929.9,2288.1,3291.7,1,1217,0
3,345.59999999962747,3098.9,2465.8,3732.1,0,0,0
4,314.90000000037253,2826.4,2502.5,3150.3,1,1228,0
5,308,3028.2,2918.6,3137.8,1,1216,0
6,297.09999999962747,2918.8,2267.0,3281.5,1,1203,0
7,338.90000000037253,3069.1,2367.2,3719.9,1,1184,0
8,308.59999999962747,2874.2,2624.1,3124.3,1,1185,0
9,292,3074.7,2999.7,3149.6,1,1222,0
10,357.90000000037253,2919.5,2373.7,3465.4,0,0,0
11,381.40000000037253,2767.8,2386.8,3148.8,1,1206,0
12,330.7000000011176,2940.2,2726.6,3153.8,1,1213,0
13,337,2857.5,2285.6,3148.0,1,1188,0
14,416.80000000074506,3006.4,2396.5,3616.3,0,0,0
15,334,2388.3,2388.3,2388.3,3,232,0
