client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,455.6000000014901,3022.7,2832.7,3212.7,1,1287,0
1,351,2925.7,2400.3,3276.6,1,1298,0
2,299.40000000037253,3024.1,2401.2,3454.2,2,1369,0
3,344.19999999925494,2852.7,2436.6,3268.8,2,1359,0
4,287.30000000074506,3039.0,2780.9,3271.3,2,1334,0
5,355.7000000011176,2917.8,2316.9,3229.1,2,1380,0
6,338.7999999988824,3106.4,2489.3,3629.7,2,1346,0
7,286.69999999925494,2893.9,2400.0,3223.6,2,1287,0
8,289.2000000011176,3033.1,2802.6,3256.6,2,1369,0
9,332.69999999925494,2915.6,2303.0,3227.7,2,1300,0
10,329.09999999962747,3076.8,2304.3,3649.3,2,1311,0
11,321.09999999962747,2577.8,2577.8,2577.8,1,36,0
12,340.09999999962747,3015.2,3015.2,3015.2,3,111,0
13,337.09999999962747,2905.3,2405.8,3404.8,2,105,0
14,409.5,3221.9,2536.6,3907.2,3,56,0
15,368.6000000014901,3030.5,2761.7,3299.4,2,1352,0
16,341.2000000011176,2909.2,2322.9,3232.6,1,1309,0
17,414.30000000074506,3047.3,2389.9,3704.8,0,0,0
18,351.30000000074506,2878.0,2524.4,3231.6,1,1300,0
19,414.40000000037253,3123.9,3008.0,3239.9,1,1287,0
20,448.2000000011176,3063.1,2466.3,3471.4,1,1287,0
21,397.1000000014901,2838.6,2399.9,3277.3,1,1298,0
22,379.80000000074506,3024.2,2817.4,3231.1,1,1300,0
23,576.0999999996275,3065.7,2508.6,3450.3,1,1296,0
24,633.0999999996275,3276.4,2644.1,4023.6,1,1191,0
25,619,3105.2,3063.6,3146.7,1,1188,0
26,484.59999999962747,3078.5,2542.3,3538.7,1,1164,0
27,579.5,2776.5,2776.5,2776.5,1,4,0
28,648.2000000011176,2901.9,2445.7,3358.1,1,92,0
29,559.4000000003725,3287.4,2606.5,3968.3,0,0,0
