client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,335.09999999962747,2818.2,2301.3,3335.1,0,0,0
1,350.40000000037253,3069.2,2338.3,3727.4,2,1257,0
2,259.40000000037253,2447.2,2447.2,2447.2,3,230,0
3,281.59999999962747,2837.8,2837.8,2837.8,1,50,0
4,267.30000000074506,2748.0,2320.7,3175.3,3,142,0
5,292.59999999962747,2940.1,2285.4,3594.9,2,72,0
6,315.19999999925494,2861.2,2534.2,3188.2,1,1268,0
7,318.7000000011176,3058.3,2930.7,3186.0,1,1240,0
8,327.69999999925494,2944.8,2306.0,3338.7,1,1216,0
9,359.30000000074506,3064.6,2380.1,3749.1,0,0,0
10,321.19999999925494,2909.2,2570.0,3248.4,1,1204,0
11,328.30000000074506,2799.1,2262.7,3141.6,1,1194,0
12,304.40000000037253,2928.8,2301.6,3355.9,1,1227,0
13,356.3999999985099,2743.6,2350.1,3137.0,1,1201,0
14,320.7000000011176,2739.2,2739.2,2739.2,0,0,0
15,380.5,2812.0,2415.0,3209.0,0,0,0
16,423.80000000074506,3055.7,2459.3,3652.1,0,0,0
17,363.5,2495.5,2495.5,2495.5,0,0,0
18,391.40000000037253,3045.9,2953.1,3138.7,1,1173,0
19,502.30000000074506,3006.3,2382.3,3507.1,1,1152,0
20,454.5,2346.5,2346.5,2346.5,1,15,0
21,424.69999999925494,2865.7,2865.7,2865.7,2,131,0
