client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,330.5,2928.8,2283.5,3322.7,2,1269,0
1,302.69999999925494,3072.4,2307.8,3631.6,2,1292,0
2,347.19999999925494,2450.3,2450.3,2450.3,3,307,0
3,273.90000000037253,2732.4,2732.4,2732.4,3,276,0
4,288.19999999925494,2742.1,2375.5,3108.8,2,69,0
5,307.7000000011176,2876.6,2247.2,3506.0,2,129,0
6,346.5,2462.8,2462.8,2462.8,3,222,0
7,317,2820.3,2820.3,2820.3,3,214,0
8,273.09999999962747,2697.3,2258.4,3136.3,3,181,0
9,348.09999999962747,2973.7,2374.4,3573.1,3,145,0
10,309.69999999925494,2776.7,2381.2,3172.2,1,1261,0
11,299.19999999925494,2969.8,2735.5,3204.1,1,1277,0
12,366.5,2897.8,2311.8,3193.7,1,1332,0
13,351.6000000014901,3032.2,2313.6,3620.5,1,1247,0
14,349.59999999962747,2825.0,2478.7,3171.3,1,1234,0
15,390.5,3045.4,2924.7,3166.1,1,1284,0
16,456,3024.7,2472.0,3400.4,1,1261,0
17,388.59999999962747,3150.6,2493.9,3794.7,2,1345,0
18,370.40000000037253,2960.2,2746.1,3174.2,1,1231,0
19,487.2000000011176,3001.3,2481.3,3321.2,1,1250,0
20,451.5,3118.5,2447.1,3724.4,1,1260,0
21,358.90000000037253,2540.1,2540.1,2540.1,2,33,0
22,420.09999999962747,2733.9,2391.3,3076.5,1,81,0
23,777.7000000011176,3328.9,2768.1,3889.7,2,133,0
24,674.1999999992549,2743.0,2436.6,3049.3,2,70,0
