client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,455.1000000014901,2808.6,2808.6,2808.6,1,1270,0
1,281.30000000074506,2608.5,2216.1,3001.0,0,0,0
2,329.19999999925494,2841.0,2255.9,3426.1,1,1280,0
3,265.5,2212.8,2212.8,2212.8,1,1269,0
4,302.3999999985099,2616.4,2616.4,2616.4,1,1267,0
5,296.20000000298023,2714.4,2413.6,3015.2,0,0,0
6,312.19999999925494,2907.0,2398.2,3415.8,1,1286,0
7,309.5999999977648,2376.4,2376.4,2376.4,1,1270,0
8,348.6000000014901,2837.9,2837.9,2837.9,1,1294,0
9,367.6000000014901,2985.7,2340.1,3279.2,2,1413,0
10,319.8999999985099,3041.0,2295.3,3633.8,1,1207,0
11,307,2433.0,2433.0,2433.0,2,57,0
12,376.80000000074506,2928.0,2928.0,2928.0,1,17,0
13,372.6000000014901,2869.6,2387.8,3351.4,0,0,0
14,389.4000000022352,2337.8,2337.8,2337.8,1,32,0
15,386,2751.4,2751.4,2751.4,1,35,0
16,347.1000000014901,2698.7,2270.4,3127.1,2,107,0
17,496.3999999985099,3110.3,2503.2,3717.5,1,100,0
18,393.8999999985099,2485.9,2485.9,2485.9,1,1266,0
19,380.3999999985099,2910.5,2910.5,2910.5,1,1305,0
20,477,2918.9,2416.0,3421.9,1,1280,0
21,479,2391.3,2391.3,2391.3,0,0,0
22,427.3999999985099,2990.4,2990.4,2990.4,0,0,0
23,508.5,3040.9,2537.9,3543.8,0,0,0
24,544.1999999992549,2956.9,2605.6,3308.1,2,1227,0
25,557.5,2798.2,2485.5,3110.9,1,1280,0
26,648,3160.4,2569.7,3681.1,1,1218,0
27,648.6999999992549,2658.8,2658.8,2658.8,0,0,0
28,577.4000000022352,2812.3,2491.5,3133.2,0,0,0
29,587,3191.5,2647.6,3735.4,0,0,0
