client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,284.79999999981374,2481.6,2175.2,3130.7,1,294,0
1,260.29999999981374,2358.3,2240.0,2494.9,1,226,0
2,254.59999999962747,2464.2,2314.9,2871.0,1,212,0
3,258.60000000009313,2143.4,2096.7,2232.1,0,0,0
4,271.10000000009313,2462.7,2293.8,2631.5,1,35,0
5,266.90000000037253,2383.5,1988.8,3050.0,0,0,0
6,265.39999999990687,2210.6,2093.0,2430.5,2,156,0
7,284.6999999997206,2379.6,1990.3,2837.0,0,0,0
8,299.09999999962747,2324.1,2264.0,2371.5,1,305,0
9,297.39999999990687,2421.9,2293.2,2662.7,1,308,0
10,472.5,2571.2,2368.4,3228.9,1,279,0
11,297.3000000002794,2403.3,2327.9,2520.4,2,325,0
12,283.79999999981374,2478.7,2262.6,2949.2,1,269,0
13,316.79999999981374,2372.4,2312.6,2464.2,1,212,0
14,385.39999999990687,2482.8,2268.6,3007.9,1,159,0
15,324.8000000002794,2198.6,2070.5,2326.8,3,104,0
