second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,3825.760498046875,2,1539,1.071,false
2,0,3863.36181640625,2,1539,0.786,false
3,0,3908.353271484375,2,1539,0.487,false
4,0,3892.264404296875,2,1539,0.270,false
5,0,3867.02734375,2,1539,0.378,false
6,0,3954.696533203125,2,1539,0.105,false
7,0,3954.696533203125,3,1539,0.405,true
8,0,3954.696533203125,3,1539,-0.383,true
9,0,4953.02978515625,3,3828,0.463,false
10,0,4953.02978515625,3,3828,0.911,false
11,0,4773.4873046875,3,3828,2.069,false
12,0,4762.171875,3,3828,1.988,false
13,0,4470.379150390625,3,3828,1.214,false
14,0,4355.937255859375,3,3828,1.194,false
15,0,4355.937255859375,3,3828,0.567,false
16,0,4355.937255859375,3,3828,0.602,false
17,0,4355.937255859375,4,3828,0.045,true
18,0,4355.937255859375,4,4481,1.484,false
19,0,4851.87744140625,4,4481,1.709,false
20,0,4715.55908203125,4,4481,1.928,false
21,0,4610.4794921875,4,4481,1.653,false
22,0,4500.8134765625,4,4481,0.911,false
23,0,4386.56640625,4,4481,0.277,false
24,0,4386.56640625,5,4481,-0.491,true
25,0,4386.56640625,5,4481,-0.128,true
26,0,5162.61328125,5,7094,0.257,false
27,0,5162.61328125,6,7094,-0.087,true
28,0,5162.61328125,6,7094,-0.668,true
29,0,5162.61328125,6,7094,-1.700,true
30,0,5162.61328125,6,7094,-3.100,true
1,1,2410.1484375,1,289,1.548,false
2,1,2410.1484375,1,289,1.292,false
3,1,2671.364501953125,1,289,0.653,false
4,1,2646.427490234375,1,289,0.700,false
5,1,2660.5966796875,1,289,0.486,false
6,1,2719.442138671875,1,289,0.619,false
7,1,2790.6298828125,2,289,0.043,true
8,1,2790.6298828125,2,289,0.768,true
9,1,2790.6298828125,2,1596,0.747,false
10,1,4080.13525390625,2,1596,0.507,false
11,1,4060.287353515625,2,1596,0.638,false
12,1,4072.072021484375,2,1596,0.821,false
13,1,4072.072021484375,2,1596,1.607,false
14,1,4249.37939453125,2,1596,1.351,false
15,1,4205.637451171875,2,1596,1.057,false
16,1,4205.637451171875,2,1596,1.162,false
17,1,4163.877197265625,2,1596,1.178,false
18,1,4149.93798828125,2,1596,0.581,false
19,1,4162.07763671875,2,1596,0.308,false
20,1,4162.07763671875,2,1596,0.461,false
21,1,4162.07763671875,2,1596,0.572,false
22,1,4162.07763671875,2,1596,0.706,false
23,1,4162.07763671875,3,1596,0.054,true
24,1,4162.07763671875,3,1596,-0.201,true
25,1,4162.07763671875,3,1596,-0.228,true
26,1,5332.28662109375,3,4511,0.530,false
27,1,5332.28662109375,4,4511,-0.834,true
28,1,5332.28662109375,4,4511,-1.712,true
29,1,5332.28662109375,4,4511,-2.744,true
30,1,5332.28662109375,4,4511,-0.206,true
1,2,2784.561767578125,2,466,1.251,false
2,2,2809.75341796875,2,466,0.614,false
3,2,2792.16455078125,2,466,0.339,false
4,2,2755.7275390625,2,466,0.388,false
5,2,2755.0966796875,2,466,0.488,false
6,2,2741.741943359375,2,466,0.259,false
7,2,2741.741943359375,3,466,0.357,true
8,2,2741.741943359375,3,466,0.768,true
9,2,2741.741943359375,3,2784,1.635,false
10,2,4875.53515625,3,2784,1.083,false
11,2,4875.53515625,3,2784,2.161,false
12,2,4564.9716796875,3,2784,2.091,false
13,2,4448.30126953125,3,2784,1.687,false
14,2,4370.379150390625,3,2784,1.338,false
15,2,4198.28857421875,3,2784,1.030,false
16,2,4198.28857421875,3,2784,0.789,false
17,2,4198.28857421875,3,2784,0.471,false
18,2,4198.28857421875,4,2784,0.132,true
19,2,4198.28857421875,4,3781,0.412,false
20,2,4198.28857421875,4,3781,0.525,false
21,2,4820.079345703125,4,3781,2.376,false
22,2,4601.513427734375,4,3781,2.289,false
23,2,4487.46630859375,4,3781,1.249,false
24,2,4441.7568359375,4,3781,0.862,false
25,2,4441.7568359375,5,3781,0.386,true
26,2,4441.7568359375,5,3781,-0.240,true
27,2,4441.7568359375,5,3781,-1.012,true
28,2,4441.7568359375,5,3781,-1.811,true
29,2,4441.7568359375,5,3781,-2.844,true
30,2,4441.7568359375,5,3781,-0.118,true
1,3,2329.362548828125,2,273,1.474,false
2,3,2329.362548828125,2,273,1.272,false
3,3,2329.362548828125,2,273,0.633,false
4,3,2524.12744140625,2,273,0.360,false
5,3,2648.796630859375,2,273,0.518,false
6,3,2635.14208984375,2,273,0.642,false
7,3,2706.829833984375,2,273,0.049,false
