client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,284.29999999981374,2344.9,1989.4,3053.5,1,316,0
1,242.5,2100.9,1989.9,2145.7,2,394,0
2,245,2181.4,1990.1,2536.7,1,317,0
3,267.40000000037253,2015.9,1922.0,2106.9,2,396,0
4,264.3999999994412,2155.1,2007.1,2349.4,1,267,0
5,287.40000000037253,2160.2,1883.3,2795.1,1,366,0
6,279.3999999994412,2105.2,1966.8,2243.5,3,200,0
7,301.79999999981374,2215.6,1929.8,2663.9,0,0,0
8,263.5,1903.9,1799.8,2007.9,3,108,0
9,265.70000000018626,2190.4,1973.0,2407.7,0,0,0
10,329.69999999925494,2313.9,1976.4,2930.0,0,0,0
11,288.5,2158.2,2005.4,2284.9,3,522,0
12,282.79999999981374,2207.8,1930.7,2701.4,2,488,0
13,346.1000000005588,2113.2,1977.1,2214.3,2,403,0
14,306,2205.6,1949.0,2637.8,1,298,0
15,317.09999999962747,2889.7,1962.6,3148.7,2,1326,0
16,298.59999999962747,2218.5,2002.7,2506.9,1,284,0
17,349.40000000037253,1998.3,1981.3,2011.4,1,236,0
18,335.79999999981374,2170.5,2024.1,2434.1,1,257,0
19,450.20000000018626,2244.2,2012.9,3089.7,3,427,0
