second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,2823.90478515625,0,0,2.241,false
2,0,2823.90478515625,0,0,1.961,false
3,0,2823.90478515625,0,0,1.955,false
4,0,2823.90478515625,0,0,2.008,false
5,0,2823.90478515625,0,0,1.750,false
6,0,2823.90478515625,0,0,1.852,false
7,0,2823.90478515625,0,0,1.902,false
8,0,2823.90478515625,0,0,1.944,false
9,0,2823.90478515625,0,0,2.075,false
10,0,2823.90478515625,0,0,1.817,false
11,0,2823.90478515625,0,0,1.187,false
12,0,2823.90478515625,0,0,0.171,false
13,0,2823.90478515625,1,0,0.062,true
14,0,2823.90478515625,1,1181,2.204,false
15,0,3121.122314453125,1,1181,2.233,false
16,0,3121.122314453125,1,1181,2.682,false
17,0,3121.122314453125,1,1181,2.297,false
18,0,3121.122314453125,1,1181,2.461,false
19,0,3121.122314453125,1,1181,2.922,false
20,0,3121.122314453125,1,1181,2.254,false
21,0,3121.122314453125,1,1181,2.349,false
22,0,3121.122314453125,1,1181,2.811,false
23,0,3121.122314453125,1,1181,2.134,false
24,0,3121.122314453125,1,1181,2.223,false
25,0,3121.122314453125,1,1181,2.688,false
26,0,3121.122314453125,1,1181,2.416,false
27,0,3121.122314453125,1,1181,2.512,false
28,0,3121.122314453125,1,1181,2.496,false
29,0,3121.122314453125,1,1181,2.196,false
30,0,3121.122314453125,1,1181,2.439,false
1,1,2327.20263671875,0,0,1.866,false
2,1,2327.20263671875,0,0,1.907,false
3,1,2327.20263671875,0,0,1.224,false
4,1,2327.20263671875,0,0,0.207,false
5,1,2327.20263671875,1,0,0.048,true
6,1,2327.20263671875,1,1226,2.307,false
7,1,3244.406005859375,1,1226,2.615,false
8,1,3244.406005859375,1,1226,2.711,false
9,1,3244.406005859375,1,1226,2.320,false
10,1,3244.406005859375,1,1226,2.489,false
11,1,3244.406005859375,1,1226,2.905,false
12,1,3244.406005859375,1,1226,2.263,false
13,1,3244.406005859375,1,1226,2.355,false
14,1,3244.406005859375,1,1226,2.805,false
15,1,3244.406005859375,1,1226,2.145,false
16,1,3244.406005859375,1,1226,2.247,false
17,1,3244.406005859375,1,1226,2.638,false
18,1,3244.406005859375,1,1226,2.006,false
19,1,3244.406005859375,1,1226,2.514,false
20,1,3244.406005859375,1,1226,2.588,false
21,1,3244.406005859375,1,1226,1.986,false
22,1,3244.406005859375,1,1226,2.425,false
23,1,3244.406005859375,1,1226,2.851,false
24,1,3244.406005859375,1,1226,2.230,false
25,1,3244.406005859375,1,1226,2.310,false
26,1,3244.406005859375,1,1226,2.024,false
27,1,3244.406005859375,1,1226,2.124,false
28,1,3244.406005859375,1,1226,2.562,false
29,1,3244.406005859375,1,1226,2.285,false
30,1,3244.406005859375,1,1226,2.036,false
1,2,2376.802490234375,0,0,2.248,false
2,2,2376.802490234375,0,0,2.193,false
3,2,2376.802490234375,0,0,1.918,false
4,2,2376.802490234375,0,0,0.871,false
5,2,2376.802490234375,1,0,0.054,true
6,2,2376.802490234375,1,1177,0.623,false
7,2,2376.802490234375,1,1177,2.235,false
8,2,3219.30615234375,1,1177,2.220,false
9,2,3219.30615234375,1,1177,2.317,false
10,2,3219.30615234375,1,1177,1.992,false
11,2,3219.30615234375,1,1177,2.104,false
12,2,3219.30615234375,1,1177,2.532,false
13,2,3219.30615234375,1,1177,2.500,false
14,2,3219.30615234375,1,1177,1.975,false
15,2,3219.30615234375,1,1177,2.402,false
16,2,3219.30615234375,1,1177,2.853,false
17,2,3219.30615234375,1,1177,2.133,false
18,2,3219.30615234375,1,1177,2.667,false
19,2,3219.30615234375,1,1177,2.025,false
20,2,3219.30615234375,1,1177,2.131,false
21,2,3219.30615234375,1,1177,2.584,false
22,2,3219.30615234375,1,1177,1.957,false
23,2,3219.30615234375,1,1177,2.022,false
24,2,3219.30615234375,1,1177,2.472,false
25,2,3219.30615234375,1,1177,2.946,false
26,2,3219.30615234375,1,1177,2.210,false
27,2,3219.30615234375,1,1177,2.752,false
28,2,3219.30615234375,1,1177,2.117,false
29,2,3219.30615234375,1,1177,2.181,false
30,2,3219.30615234375,1,1177,2.656,false
1,3,2454.602783203125,0,0,1.906,false
2,3,2454.602783203125,0,0,2.002,false
3,3,2454.602783203125,0,0,2.037,false
4,3,2454.602783203125,0,0,2.054,false
5,3,2454.602783203125,0,0,2.072,false
6,3,2454.602783203125,0,0,2.181,false
7,3,2454.602783203125,0,0,1.941,false
8,3,2454.602783203125,0,0,1.982,false
9,3,2454.602783203125,0,0,2.103,false
10,3,2454.602783203125,0,0,2.129,false
11,3,2454.602783203125,0,0,1.951,false
12,3,2454.602783203125,0,0,2.004,false
13,3,2454.602783203125,0,0,2.038,false
14,3,2454.602783203125,0,0,2.163,false
15,3,2454.602783203125,0,0,2.163,false
16,3,2454.602783203125,0,0,1.987,false
17,3,2454.602783203125,0,0,2.070,false
18,3,2454.602783203125,0,0,2.098,false
19,3,2454.602783203125,0,0,1.914,false
20,3,2454.602783203125,0,0,2.003,false
21,3,2454.602783203125,0,0,2.088,false
22,3,2454.602783203125,0,0,2.142,false
23,3,2454.602783203125,0,0,2.176,false
24,3,2454.602783203125,0,0,1.980,false
25,3,2454.602783203125,0,0,1.974,false
26,3,2454.602783203125,0,0,2.123,false
27,3,2454.602783203125,0,0,2.233,false
28,3,2454.602783203125,0,0,1.957,false
29,3,2454.602783203125,0,0,2.035,false
30,3,2454.602783203125,0,0,2.167,false
1,4,2827.702392578125,0,0,2.290,false
2,4,2827.702392578125,0,0,1.970,false
3,4,2827.702392578125,0,0,1.993,false
4,4,2827.702392578125,0,0,1.990,false
5,4,2827.702392578125,0,0,2.063,false
6,4,2827.702392578125,0,0,2.184,false
7,4,2827.702392578125,0,0,1.920,false
8,4,2827.702392578125,0,0,2.006,false
9,4,2827.702392578125,0,0,2.032,false
