client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,261.29999999981374,3413.3,2335.5,5227.4,5,3791,0
1,345.79999999981374,3669.4,2418.6,5306.4,5,6159,0
2,379.90000000037253,3472.5,2323.3,6042.9,5,6084,0
3,459.70000000018626,3736.2,2333.9,7796.3,7,19850,0
4,618.4000000003725,3453.1,2484.4,4707.4,4,1993,0
5,324.20000000018626,3438.2,2332.9,5246.3,5,3620,0
6,286.09999999962747,3665.7,2337.7,6427.0,5,10968,0
7,266.59999999962747,3405.2,2241.0,4696.7,4,6242,0
8,273.90000000037253,3649.4,2320.4,7332.4,5,10668,0
9,286.79999999981374,3276.7,2240.7,5318.3,6,6838,0
10,311.8999999994412,3604.0,2241.0,8855.5,6,17520,0
11,286.09999999962747,3923.3,2338.5,6506.2,9,8095,0
12,308.90000000037253,3284.9,2060.9,5078.8,3,2077,0
13,437.1000000005588,3341.4,2335.9,5158.8,3,2053,0
14,582.2999999998137,3224.7,2185.4,4798.0,4,4145,0
15,620.2000000001863,3319.8,2544.8,5113.3,5,3550,0
16,411.70000000018626,3133.9,2182.8,5181.4,5,17915,0
17,349,2995.3,2175.1,5162.1,5,5806,0
18,348.59999999962747,3603.6,2425.5,7473.9,5,7093,0
19,364.30000000074506,3475.5,2032.3,7544.8,5,15079,0
20,347.09999999962747,3380.7,2327.3,5182.5,5,4439,0
21,350.20000000018626,3085.7,2003.9,4855.4,4,2560,0
22,338.09999999962747,3274.5,2334.9,5259.4,4,3202,0
23,353,3334.7,2337.4,5109.9,6,3949,0
24,1070.7000000001863,3513.0,2333.5,5754.5,10,7903,0
25,631.5999999996275,3721.7,2331.0,8212.4,5,16198,0
26,497.5,3355.2,2314.0,6845.0,5,9466,0
27,483.70000000018626,3249.9,2395.5,5181.2,4,2969,0
28,459,3301.6,2265.8,5052.2,5,3237,0
29,626.1000000005588,3373.9,2381.7,5206.7,4,4190,0
30,515.8999999994412,3366.3,2461.4,4985.9,5,3022,0
31,564.6000000005588,3376.3,2343.8,5279.1,5,3732,0
32,648.6999999992549,3314.0,2671.9,4837.7,5,4029,0
33,1728.9000000003725,3739.3,3104.5,5046.4,3,3848,0
34,1303.5,4301.1,3309.0,5401.8,7,7346,0
35,1548.300000000745,4089.7,3551.6,5181.0,3,2580,0
36,1482.9000000003725,4242.4,3420.2,5158.9,4,3041,0
37,1388.7999999998137,4295.4,3463.8,5122.9,8,3846,0
38,1374.9000000003725,4309.6,3367.7,4826.4,5,3181,0
39,1876.0999999996275,4622.7,3901.0,5335.8,5,4598,0
40,1304.2999999998137,3874.2,3160.2,5238.1,4,4001,0
41,1381.0999999996275,4490.0,3385.9,5076.9,4,3820,0
42,2347.5,4372.9,3844.6,5876.1,6,7373,0
43,2229.2000000001863,4576.9,4162.3,4859.0,5,5016,0
44,1396.8999999994412,5147.0,3470.3,10712.3,4,18868,0
