second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,3194.322509765625,4,645,0.365,true
2,0,3194.322509765625,5,765,0.409,true
3,0,3895.386474609375,6,2014,0.217,false
4,0,3895.386474609375,7,2517,0.073,false
5,0,3895.386474609375,8,2517,-1.392,true
6,0,5205.5029296875,8,4052,0.376,false
7,0,5205.5029296875,9,4052,-0.534,true
8,0,5205.5029296875,9,4052,-1.268,true
9,0,5205.5029296875,9,4052,-2.201,true
10,0,4927.013427734375,9,6850,0.553,false
11,0,4927.013427734375,10,7016,0.062,false
12,0,4927.013427734375,11,7016,-0.702,true
13,0,4927.013427734375,11,7016,-0.067,true
14,0,4927.013427734375,11,7016,-1.401,true
15,0,4927.013427734375,11,7016,-0.372,true
16,0,4927.013427734375,11,7016,-1.504,true
17,0,4927.013427734375,11,7016,-2.405,true
18,0,4927.013427734375,11,7016,-1.662,true
19,0,4927.013427734375,11,7016,-1.662,true
20,0,4927.013427734375,11,7016,-3.695,true
21,0,4927.013427734375,11,7016,-4.195,true
22,0,4927.013427734375,11,7016,-5.328,true
23,0,4927.013427734375,11,7016,-5.328,true
24,0,6878.626953125,12,19628,-1.902,true
25,0,6878.626953125,12,19628,-1.902,true
26,0,6878.626953125,12,19628,-3.735,true
27,0,6878.626953125,12,19628,-4.534,true
28,0,6878.626953125,12,19628,-5.167,true
29,0,6878.626953125,12,19628,-5.167,true
30,0,6878.626953125,12,19628,-7.300,true
1,1,4176.059326171875,2,1609,1.278,false
2,1,4310.395263671875,2,1609,0.931,false
3,1,4310.395263671875,2,1609,0.291,false
4,1,4310.1865234375,3,1609,0.414,true
5,1,4310.1865234375,3,1609,-0.359,true
6,1,4990.0029296875,3,4350,0.766,false
7,1,4990.0029296875,3,4350,0.171,false
8,1,4990.0029296875,4,4350,-0.824,true
9,1,4990.0029296875,4,4350,-0.174,true
10,1,4990.0029296875,4,4350,-0.933,true
11,1,4990.0029296875,4,4350,-2.036,true
12,1,4990.0029296875,5,8196,0.059,true
13,1,5316.705322265625,5,8569,0.391,false
14,1,5500.8134765625,6,8814,0.320,false
15,1,5500.8134765625,7,8814,-0.171,true
16,1,5500.8134765625,7,8814,-0.942,true
17,1,5500.8134765625,7,8814,-0.634,true
18,1,5500.8134765625,7,8814,-2.479,true
19,1,5500.8134765625,7,8814,-3.612,true
20,1,5500.8134765625,7,8814,-4.746,true
21,1,5500.8134765625,7,8814,-5.646,true
22,1,5500.8134765625,7,8814,-5.646,true
23,1,5500.8134765625,7,8814,-5.646,true
24,1,5500.8134765625,7,8814,-8.480,true
25,1,5500.8134765625,7,8814,-9.712,true
26,1,5500.8134765625,7,8814,-9.712,true
27,1,5500.8134765625,7,8814,-11.646,true
28,1,5500.8134765625,7,8814,-11.646,true
29,1,5500.8134765625,7,8814,-13.279,true
30,1,5500.8134765625,7,8814,-13.279,true
