second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,2056.449462890625,1,316,0.863,false
2,0,3053.451904296875,1,316,2.039,false
3,0,2088.593505859375,1,316,2.131,false
4,0,2088.593505859375,1,316,2.215,false
5,0,2088.593505859375,1,316,2.243,false
6,0,2088.593505859375,1,316,2.029,false
7,0,2088.593505859375,1,316,2.116,false
8,0,2088.593505859375,1,316,2.206,false
9,0,2088.593505859375,1,316,1.930,false
10,0,2088.593505859375,1,316,2.019,false
11,0,2088.593505859375,1,316,2.107,false
12,0,2088.593505859375,1,316,2.144,false
13,0,2088.593505859375,1,316,1.920,false
14,0,2088.593505859375,1,316,2.008,false
15,0,2088.593505859375,1,316,2.095,false
16,0,2088.593505859375,1,316,2.182,false
17,0,2088.593505859375,1,316,2.242,false
18,0,2088.593505859375,1,316,1.976,false
19,0,2088.593505859375,1,316,2.085,false
20,0,2088.593505859375,1,316,2.107,false
21,0,2088.593505859375,1,316,1.899,false
22,0,2088.593505859375,1,316,1.608,false
23,0,2088.593505859375,1,316,2.075,false
24,0,2088.593505859375,1,316,2.163,false
25,0,2088.593505859375,1,316,2.210,false
26,0,2088.593505859375,1,316,1.976,false
27,0,2088.593505859375,1,316,2.065,false
28,0,2088.593505859375,1,316,2.142,false
29,0,2088.593505859375,1,316,2.176,false
30,0,2088.593505859375,1,316,1.965,false
1,1,2140.449462890625,1,351,2.265,false
2,1,2140.449462890625,1,351,1.993,false
3,1,2140.449462890625,1,351,2.077,false
4,1,2140.449462890625,1,351,2.166,false
5,1,2140.449462890625,1,351,2.220,false
6,1,2140.449462890625,1,351,1.980,false
7,1,2140.449462890625,1,351,2.068,false
8,1,2140.449462890625,1,351,2.155,false
9,1,2140.449462890625,1,351,2.242,false
10,1,2140.449462890625,1,351,1.607,false
11,1,2140.449462890625,1,351,0.605,false
12,1,2140.449462890625,1,351,2.144,false
13,1,2127.398193359375,1,351,2.233,false
14,1,2127.398193359375,1,351,1.959,false
15,1,2127.398193359375,2,394,2.034,false
16,1,2127.398193359375,2,394,2.121,false
17,1,2127.398193359375,2,394,1.848,false
18,1,2127.398193359375,2,394,1.935,false
19,1,2127.398193359375,2,394,2.021,false
20,1,2127.398193359375,2,394,2.110,false
21,1,2127.398193359375,2,394,2.200,false
22,1,2127.398193359375,2,394,1.924,false
23,1,2127.398193359375,2,394,2.012,false
24,1,2127.398193359375,2,394,2.099,false
25,1,2127.398193359375,2,394,2.189,false
26,1,2127.398193359375,2,394,1.913,false
27,1,2127.398193359375,2,394,2.000,false
28,1,2127.398193359375,2,394,2.089,false
29,1,2127.398193359375,2,394,2.178,false
30,1,2127.398193359375,2,394,1.903,false
1,2,2078.24951171875,1,317,2.207,false
2,2,2078.24951171875,1,317,1.931,false
3,2,2078.24951171875,1,317,1.963,false
4,2,2078.24951171875,1,317,2.108,false
5,2,2078.24951171875,1,317,2.130,false
6,2,2078.24951171875,1,317,2.283,false
7,2,2078.24951171875,1,317,2.010,false
8,2,2078.24951171875,1,317,2.063,false
9,2,2078.24951171875,1,317,2.186,false
10,2,2078.24951171875,1,317,1.909,false
11,2,2078.24951171875,1,317,1.996,false
12,2,2078.24951171875,1,317,2.086,false
13,2,2078.24951171875,1,317,2.131,false
14,2,2078.24951171875,1,317,2.261,false
15,2,2078.24951171875,1,317,1.987,false
16,2,2078.24951171875,1,317,2.075,false
17,2,2078.24951171875,1,317,2.161,false
18,2,2078.24951171875,1,317,1.886,false
19,2,2078.24951171875,1,317,1.975,false
20,2,2078.24951171875,1,317,2.032,false
21,2,2078.24951171875,1,317,2.131,false
22,2,2078.24951171875,1,317,1.514,false
23,2,2078.24951171875,1,317,1.968,false
24,2,2078.24951171875,1,317,2.053,false
25,2,2078.24951171875,1,317,2.142,false
26,2,2078.24951171875,1,317,1.866,false
27,2,2078.24951171875,1,317,1.955,false
28,2,2078.24951171875,1,317,2.042,false
29,2,2078.24951171875,1,317,2.132,false
30,2,2120.35693359375,1,317,1.856,false
1,3,2106.892822265625,1,297,0.955,false
2,3,2106.892822265625,1,297,2.285,false
3,3,2095.193603515625,1,297,2.008,false
4,3,2095.193603515625,1,297,2.098,false
5,3,2095.193603515625,2,396,2.169,false
6,3,2095.193603515625,2,396,1.957,false
7,3,2095.193603515625,2,396,2.043,false
8,3,2095.193603515625,2,396,2.131,false
9,3,2095.193603515625,2,396,2.219,false
10,3,2095.193603515625,2,396,1.943,false
