second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,2274.79296875,0,0,0.506,false
2,0,2274.79296875,1,159,1.478,false
3,0,2286.89306640625,1,159,1.929,false
4,0,2286.89306640625,1,159,1.991,false
5,0,2286.89306640625,1,159,1.741,false
6,0,2286.89306640625,1,159,0.741,false
7,0,2286.89306640625,2,298,1.695,false
8,0,2420.97412109375,2,298,2.144,false
9,0,2420.97412109375,2,298,2.233,false
10,0,2420.97412109375,2,298,1.959,false
11,0,2420.97412109375,2,298,2.046,false
12,0,2420.97412109375,2,298,2.133,false
13,0,2420.97412109375,2,298,2.222,false
14,0,2420.97412109375,2,298,1.947,false
15,0,2420.97412109375,2,298,2.037,false
16,0,2420.97412109375,2,298,2.124,false
17,0,2420.97412109375,2,298,1.849,false
18,0,2420.97412109375,2,298,2.300,false
19,0,2420.97412109375,2,298,2.024,false
20,0,2420.97412109375,2,298,2.113,false
21,0,2420.97412109375,2,298,2.201,false
22,0,2420.97412109375,2,298,1.926,false
23,0,2420.97412109375,2,298,2.015,false
24,0,2420.97412109375,2,298,2.100,false
25,0,2420.97412109375,2,298,2.190,false
26,0,2420.97412109375,2,298,2.277,false
27,0,2420.97412109375,2,298,2.004,false
28,0,2420.97412109375,2,298,2.093,false
29,0,2420.97412109375,2,298,2.179,false
30,0,2420.97412109375,2,298,2.267,false
1,1,,0,0,2.139,false
2,1,,0,0,2.010,false
3,1,,0,0,2.010,false
4,1,,0,0,2.010,false
5,1,,0,0,2.207,false
6,1,,0,0,2.207,false
7,1,,0,0,2.207,false
8,1,,0,0,2.074,false
9,1,,0,0,2.074,false
10,1,,0,0,2.074,false
11,1,,0,0,2.272,false
12,1,,0,0,2.272,false
13,1,,0,0,2.272,false
14,1,,0,0,2.140,false
15,1,,0,0,2.140,false
16,1,,0,0,2.140,false
17,1,,0,0,2.289,false
18,1,,0,0,2.289,false
19,1,,0,0,2.289,false
20,1,,0,0,2.206,false
21,1,,0,0,2.206,false
22,1,,0,0,2.206,false
23,1,,0,0,2.041,false
24,1,,0,0,2.041,false
25,1,,0,0,2.041,false
26,1,,0,0,2.270,false
27,1,,0,0,2.270,false
28,1,,0,0,2.270,false
29,1,,0,0,2.105,false
30,1,,0,0,2.105,false
1,2,2254.398681640625,0,0,2.110,false
2,2,2254.398681640625,0,0,2.151,false
3,2,2254.398681640625,0,0,2.217,false
4,2,2254.398681640625,0,0,2.256,false
5,2,2254.398681640625,0,0,2.014,false
6,2,2254.398681640625,0,0,2.098,false
7,2,2254.398681640625,0,0,2.117,false
8,2,2254.398681640625,0,0,2.240,false
9,2,2254.398681640625,0,0,1.987,false
10,2,2254.398681640625,0,0,2.083,false
11,2,2254.398681640625,0,0,2.163,false
12,2,2254.398681640625,0,0,1.900,false
13,2,2254.398681640625,0,0,1.971,false
14,2,2254.398681640625,0,0,2.060,false
15,2,2254.398681640625,0,0,2.150,false
16,2,2254.398681640625,0,0,2.238,false
17,2,2254.398681640625,0,0,1.954,false
18,2,2254.398681640625,0,0,2.069,false
19,2,2254.398681640625,0,0,2.133,false
20,2,2254.398681640625,0,0,2.231,false
21,2,2254.398681640625,0,0,1.947,false
22,2,2254.398681640625,0,0,2.043,false
23,2,2254.398681640625,0,0,2.131,false
24,2,2254.398681640625,0,0,2.183,false
25,2,2254.398681640625,0,0,1.938,false
26,2,2254.398681640625,0,0,2.027,false
27,2,2254.398681640625,0,0,2.123,false
28,2,2254.398681640625,0,0,2.233,false
29,2,2254.398681640625,0,0,1.934,false
30,2,2254.398681640625,0,0,2.031,false
1,3,2220.34765625,0,0,2.080,false
2,3,2220.34765625,0,0,2.111,false
3,3,2220.34765625,0,0,2.152,false
4,3,2220.34765625,0,0,1.853,false
5,3,2220.34765625,0,0,1.942,false
6,3,2220.34765625,0,0,2.026,false
7,3,2220.34765625,0,0,2.080,false
8,3,2220.34765625,0,0,2.187,false
9,3,2220.34765625,0,0,2.294,false
10,3,2220.34765625,0,0,2.018,false
11,3,2220.34765625,0,0,2.099,false
12,3,2220.34765625,0,0,2.217,false
13,3,2220.34765625,0,0,2.267,false
14,3,2220.34765625,0,0,2.014,false
15,3,2220.34765625,0,0,2.081,false
