client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,184.80000000074506,19.8,11.9,39.7,0,0,0
1,184.09999999776483,10.9,6.6,15.5,0,0,0
2,205.59999999776483,10.6,5.8,16.7,0,0,0
3,190.19999999925494,9.1,5.1,12.5,0,0,0
4,204.79999999701977,11.1,5.5,21.1,0,0,0
5,198.90000000223517,8.5,3.7,15.1,0,0,0
6,217.19999999925494,10.2,6.5,18.9,0,0,0
7,228.5,9.8,5.0,18.2,0,0,0
8,249.20000000298023,10.8,5.6,21.1,0,0,0
9,301.1000000014901,8.7,4.9,12.1,0,0,0
10,243,9.4,6.7,15.4,0,0,0
11,199.40000000223517,9.9,5.8,16.1,0,0,0
12,295.3999999985099,8.4,5.2,11.9,0,0,0
13,297.4000000022352,10.3,7.3,17.2,0,0,0
14,290.0999999977648,9.9,5.2,18.1,0,0,0
15,247.5,8.7,4.7,15.6,0,0,0
16,189.80000000074506,9.7,5.6,15.8,0,0,0
