client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,169.69999999925494,17.1,7.8,33.7,0,0,0
1,165.60000000149012,11.1,6.9,18.6,0,0,0
2,189.39999999850988,8.4,4.4,12.1,0,0,0
3,182.19999999925494,9.1,6.4,12.7,0,0,0
4,220.80000000074506,10.2,5.7,17.6,0,0,0
5,210.19999999925494,8.6,5.2,18.6,0,0,0
6,201.69999999925494,9.2,5.0,17.7,0,0,0
7,211.60000000149012,9.6,4.7,24.3,0,0,0
8,212.10000000149012,8.7,4.4,17.4,0,0,0
9,246.19999999925494,7.6,4.7,13.0,0,0,0
10,247,9.4,6.1,14.8,0,0,0
11,246.10000000149012,8.9,6.5,13.9,0,0,0
12,219.5,8.8,5.9,14.7,0,0,0
13,251.5,8.0,4.4,18.5,0,0,0
14,254.59999999776483,8.4,5.3,14.5,0,0,0
