client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,153.7999999988824,19.2,13.1,31.8,0,0,0
1,210,12.0,7.6,16.8,0,0,0
2,233.90000000037253,13.1,7.5,16.4,0,0,0
3,217.59999999962747,12.1,8.3,14.2,0,0,0
4,240.80000000074506,15.0,9.5,20.9,0,0,0
5,270.80000000074506,12.1,7.6,18.0,0,0,0
6,212.7999999988824,14.2,10.2,18.4,0,0,0
7,256,15.0,8.4,25.8,0,0,0
8,313.59999999962747,9.2,6.7,14.2,0,0,0
9,290.59999999962747,11.9,6.8,15.5,0,0,0
10,196.2000000011176,13.9,7.9,23.1,0,0,0
11,232.30000000074506,10.8,6.6,13.2,0,0,0
12,278.30000000074506,11.5,5.7,17.0,0,0,0
13,263.30000000074506,12.3,8.1,16.8,0,0,0
14,264.5,14.2,5.7,19.4,0,0,0
