client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,182,16.5,6.9,36.6,0,0,0
1,195.39999999850988,11.1,6.6,16.0,0,0,0
2,180.10000000149012,9.7,6.0,13.2,0,0,0
3,196.60000000149012,10.8,6.7,18.4,0,0,0
4,207.80000000074506,9.1,4.8,16.9,0,0,0
5,197.59999999776483,8.8,6.1,12.4,0,0,0
6,203.30000000074506,10.0,5.8,12.6,0,0,0
7,227.5,10.6,6.3,17.6,0,0,0
8,248.30000000074506,8.5,4.1,14.2,0,0,0
9,220,8.2,5.8,12.9,0,0,0
10,246.59999999776483,8.3,5.2,12.4,0,0,0
11,209.19999999925494,8.3,5.5,12.2,0,0,0
12,237.40000000223517,7.6,3.3,12.4,0,0,0
13,204.09999999776483,8.1,3.8,14.4,0,0,0
14,238.79999999701977,8.5,3.9,18.7,0,0,0
15,238.20000000298023,8.9,6.2,15.3,0,0,0
16,243.79999999701977,9.5,5.2,16.7,0,0,0
17,204.10000000149012,7.7,5.3,12.2,0,0,0
18,300.3999999985099,8.4,4.1,11.7,0,0,0
