client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,171.60000000149012,5.7,0.0,37.8,0,0,0
1,171.60000000149012,2.4,0.1,10.4,0,0,0
2,196.39999999850988,2.7,0.1,10.9,0,0,0
3,179,2.7,0.3,15.1,0,0,0
4,208.39999999850988,2.6,0.1,14.3,0,0,0
5,232.29999999701977,2.8,0.1,12.9,0,0,0
6,212.70000000298023,2.8,0.1,16.5,0,0,0
7,249.79999999701977,2.4,0.1,13.5,0,0,0
8,207.09999999776483,2.1,0.1,9.6,0,0,0
9,203.69999999925494,2.1,0.1,12.9,0,0,0
10,199.80000000074506,2.6,0.1,12.7,0,0,0
11,303.5,2.4,0.1,14.3,0,0,0
12,188.89999999850988,2.1,0.1,13.4,0,0,0
13,264.30000000074506,2.1,0.1,10.6,0,0,0
14,251.5,2.0,0.3,11.0,0,0,0
15,257.4000000022352,2.0,0.2,8.0,0,0,0
16,306.8999999985099,1.9,0.1,13.3,0,0,0
17,291.5,2.2,0.1,9.0,0,0,0
18,249.09999999776483,1.8,0.1,9.1,0,0,0
19,257.3999999985099,1.7,0.1,11.2,0,0,0
20,250.59999999776483,1.9,0.2,10.5,0,0,0
21,297.5999999977648,1.8,0.1,10.4,0,0,0
22,222.5,1.8,0.1,12.7,0,0,0
23,279.5,1.5,0.0,11.9,0,0,0
24,351.30000000074506,1.6,0.1,9.8,0,0,0
25,319.0999999977648,1.6,0.1,9.1,0,0,0
26,338.80000000074506,1.4,0.1,6.5,0,0,0
27,333.5999999977648,1.4,0.0,4.2,0,0,0
28,394.1000000014901,1.7,0.1,4.9,0,0,0
29,590.1999999992549,1.6,0.1,7.5,0,0,0
30,1026.300000000745,1.3,0.2,5.1,0,0,0
31,1311,1.1,0.0,4.1,0,0,0
32,1388.300000000745,1.2,0.0,3.1,0,0,0
33,1412.5,1.4,0.1,7.9,0,0,0
34,1483.2000000029802,1.2,0.0,3.0,0,0,0
35,1641,1.2,0.0,4.4,0,0,0
36,1590.199999999255,1.2,0.0,4.8,0,0,0
37,1747.800000000745,1.6,0.0,13.6,0,0,0
38,1841.6000000014901,1.6,0.0,11.9,0,0,0
39,1865.300000000745,1.3,0.0,7.0,0,0,0
40,1963.0999999977648,2.0,0.1,10.8,0,0,0
41,1899,1.7,0.0,10.1,0,0,0
