second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,2572.59033203125,0,0,2.013,false
2,0,2572.59033203125,0,0,1.817,false
3,0,2572.59033203125,0,0,1.535,false
4,0,2572.59033203125,0,0,0.543,false
5,0,2572.59033203125,1,0,0.062,true
6,0,2572.59033203125,1,1218,1.566,false
7,0,2572.59033203125,1,1218,2.999,false
8,0,3169.79345703125,1,1218,1.933,false
9,0,3169.79345703125,1,1218,2.020,false
10,0,3169.79345703125,1,1218,2.788,false
11,0,3169.79345703125,1,1218,2.122,false
12,0,3169.79345703125,1,1218,2.272,false
13,0,3169.79345703125,1,1218,2.675,false
14,0,3169.79345703125,1,1218,2.045,false
15,0,3169.79345703125,1,1218,2.124,false
16,0,3169.79345703125,1,1218,2.566,false
17,0,3169.79345703125,1,1218,2.220,false
18,0,3169.79345703125,1,1218,2.386,false
19,0,3169.79345703125,1,1218,2.375,false
20,0,3169.79345703125,1,1218,2.154,false
21,0,3169.79345703125,1,1218,2.154,false
22,0,3169.79345703125,1,1218,2.154,false
23,0,3169.79345703125,1,1218,2.154,false
24,0,3169.79345703125,1,1218,2.154,false
25,0,3169.79345703125,1,1218,2.154,false
26,0,3169.79345703125,1,1218,2.154,false
27,0,3169.79345703125,1,1218,2.154,false
28,0,3169.79345703125,1,1218,2.154,false
29,0,3169.79345703125,1,1218,2.154,false
30,0,3169.79345703125,1,1218,2.154,false
1,1,2929.1904296875,0,0,2.047,false
2,1,2929.1904296875,0,0,1.773,false
3,1,2929.1904296875,0,0,1.868,false
4,1,2929.1904296875,0,0,1.948,false
5,1,2929.1904296875,0,0,1.993,false
6,1,2929.1904296875,0,0,1.768,false
7,1,2929.1904296875,0,0,1.814,false
8,1,2929.1904296875,0,0,1.894,false
9,1,2929.1904296875,0,0,2.003,false
10,1,2929.1904296875,0,0,1.708,false
11,1,2929.1904296875,0,0,1.816,false
12,1,2929.1904296875,0,0,1.200,false
13,1,2929.1904296875,0,0,0.180,false
14,1,2929.1904296875,1,0,0.045,true
15,1,2929.1904296875,1,1277,2.330,false
16,1,3169.134033203125,1,1277,2.704,false
17,1,3169.134033203125,1,1277,1.993,false
18,1,3169.134033203125,1,1277,2.368,false
19,1,3169.134033203125,1,1277,2.816,false
20,1,3169.134033203125,1,1277,2.203,false
21,1,3169.134033203125,1,1277,2.203,false
