client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,379.0999999977648,2871.2,2572.6,3169.8,1,1218,0
1,355,3049.2,2929.2,3169.1,1,1277,0
2,272.69999999925494,2903.1,2287.7,3252.2,1,1293,0
3,333.5,3068.7,2326.9,3681.9,1,1265,0
4,284.30000000074506,2445.9,2445.9,2445.9,0,0,0
5,309.5,2855.8,2855.8,2855.8,0,0,0
6,297.80000000074506,2743.1,2258.3,3227.8,0,0,0
7,309.5,2945.3,2270.0,3620.5,2,155,0
8,318.70000000298023,2836.3,2494.1,3178.5,1,1269,0
9,300.19999999925494,3014.0,2864.8,3163.2,1,1271,0
10,318.5,2939.2,2353.2,3261.9,1,1275,0
11,389.0999999977648,3090.2,2381.5,3723.4,1,1260,0
12,278.5,2881.0,2565.6,3196.4,1,1270,0
13,398.8999999985099,2888.8,2379.4,3204.7,1,1298,0
14,328.4000000022352,2968.0,2247.4,3465.4,1,1299,0
15,333,2756.9,2316.9,3196.8,1,1252,0
16,380.9000000022352,3006.4,2825.1,3187.7,1,1281,0
17,396.20000000298023,2944.5,2382.4,3256.5,1,1251,0
18,507,3180.7,2567.7,3793.1,2,1210,0
19,430.6000000014901,2938.6,2686.3,3190.8,1,1293,0
20,438,2911.1,2363.4,3195.1,2,1256,0
21,422.70000000298023,3074.1,2446.9,3617.0,1,1252,0
22,476.5999999977648,2603.8,2603.8,2603.8,0,0,0
23,428.5999999977648,2700.5,2342.0,3059.0,0,0,0
